PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20230835;08;2023;7510164;1;3;1;70;;2;1185.4218936;68;;1;1;4;2;;;48;1800000;2;;;;;;;2;;2;;5414;;;;
20230835;08;2023;7510164;1;4;1;70;;2;1185.4218936;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230835;08;2023;7510165;1;1;1;70;;2;1596.0257644;68;;1;1;4;3;;;48;1160000;1;24;0;3;4;1;2;2;;2;;9111;9211;01;0121;
20230835;08;2023;7510166;1;3;1;70;;2;615.89783188;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230835;08;2023;7510167;1;1;1;70;;2;954.86414569;68;;1;1;4;4;;;47;1000000;1;1;4;8;4;1;2;2;;2;;9211;9211;01;0161;
20230835;08;2023;7510167;1;3;1;70;;2;954.86414569;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230835;08;2023;7510169;1;2;1;70;;2;724.94510874;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230835;08;2023;7510170;1;1;1;70;;2;1170.9172316;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230835;08;2023;7510175;1;4;1;70;;2;1437.5073141;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230835;08;2023;7510176;1;3;1;70;;2;567.06182503;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230835;08;2023;7510177;1;2;1;70;;2;567.06182503;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230835;08;2023;7510177;1;3;1;70;;2;567.06182503;68;1;;;;;;;;;1;12;0;8;1;10;2;2;;2;;.;5120;88;8899;
20230835;08;2023;7510178;1;2;1;70;;2;567.06182503;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230835;08;2023;7510179;1;2;1;70;;2;1028.8117581;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230835;08;2023;7510180;1;2;1;70;;2;805.49456526;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230835;08;2023;7510181;2;2;2;70;;2;2268.2473001;68;1;;;;;2;5;;1160000;1;24;0;3;1;3;2;2;;2;;.;3435;74;7420;
