PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20230730;07;2023;7481712;1;2;1;70;;2;1179.9254604;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230730;07;2023;7481712;1;3;1;70;;2;1179.9254604;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230730;07;2023;7481712;1;4;1;70;;2;1179.9254604;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230730;07;2023;7481713;1;1;1;70;;2;1259.6492176;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230730;07;2023;7481714;1;2;1;70;;2;1906.923954;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230730;07;2023;7481715;1;1;1;70;;2;1974.6544191;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230730;07;2023;7481717;1;1;1;70;;2;1785.0002357;70;1;;;;;;;;;1;150;0;4;4;1;2;2;;2;;.;7531;14;1410;
20230730;07;2023;7481719;1;1;1;70;;1;1202.7040432;68;1;;;;;;;;;1;120;0;3;3;1;2;2;;2;;.;9111;97;9700;
20230730;07;2023;7481721;1;2;1;70;;1;1226.5758228;68;1;;;;;;;;;1;240;0;4;6;5;2;2;;2;;.;5120;01;0126;
20230730;07;2023;7481723;1;3;1;70;;1;1744.9686875;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230730;07;2023;7481724;1;1;1;70;;1;937.14747944;68;1;;;;;;;;;1;60;0;3;4;1;2;2;;2;;.;9411;56;5619;
20230730;07;2023;7481725;1;2;1;70;;1;1173.7280407;68;1;;;;;;;;;1;24;4;7;1;4;2;2;;2;;.;5131;56;5611;
20230730;07;2023;7481726;1;2;1;70;;1;1685.7159401;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230730;07;2023;7481728;1;2;1;70;;1;975.51307358;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230730;07;2023;7481728;1;3;1;70;;1;975.51307358;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230730;07;2023;7481731;1;2;1;70;;1;810.0034313;68;1;;;;;;;;;1;132;1;3;4;2;2;2;;2;;.;5223;47;4761;
20230727;07;2023;7481734;1;3;1;70;05;1;1245.6553128;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
