PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20230939;09;2023;7538831;1;1;1;70;;2;616.34154838;68;;1;1;4;1;;;48;2800000;1;1;0;8;1;10;2;2;;1;2700000;7212;7212;06;0610;
20230939;09;2023;7538831;1;2;1;70;;2;616.34154838;68;1;;;;;;;;;1;36;0;3;1;4;2;2;;2;;.;9112;81;8121;
20230939;09;2023;7538833;1;2;1;70;;2;489.83566312;68;1;;;;;2;5;;1160000;1;36;0;4;1;6;2;2;;2;;.;5414;85;8530;
20230939;09;2023;7538833;1;3;1;70;;2;489.83566312;68;;1;1;5;1;;;48;1500000;1;6;0;8;4;1;2;2;;2;;7231;5211;47;4781;
20230939;09;2023;7538833;1;4;1;70;;2;489.83566312;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230939;09;2023;7538834;1;1;1;70;;2;476.0989337;68;1;;;;;;;;;1;150;4;5;1;10;2;3;;2;;.;8332;06;0610;
20230939;09;2023;7538834;1;2;1;70;;2;476.0989337;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230939;09;2023;7538835;1;1;1;70;;2;439.93641324;68;;2;1;16;1;;;48;1160000;1;12;0;8;1;7;2;2;;2;;5414;5414;80;8010;
20230939;09;2023;7538835;1;2;1;70;;2;439.93641324;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230939;09;2023;7538835;1;3;1;70;;2;439.93641324;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230939;09;2023;7538836;1;2;1;70;;2;665.75297359;68;1;;;;;;;;;1;12;4;3;1;2;2;2;;2;;.;5223;47;4724;
20230939;09;2023;7538837;1;2;1;70;;2;381.58711552;68;1;;;;;;;;;1;120;0;3;3;1;2;2;;2;;.;9111;97;9700;
20230939;09;2023;7538840;1;3;1;70;;2;234.11473618;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230939;09;2023;7538841;1;1;1;70;;2;153.49138341;68;1;;;;;;;;;1;48;0;8;1;9;2;1;1;2;;.;2142;71;7112;
20230939;09;2023;7538842;1;2;1;70;;2;428.6227911;68;;2;1;20;1;;;48;1500000;1;5;0;6;1;10;2;2;;2;;4110;5230;49;4921;
20230939;09;2023;7538842;1;5;1;70;;2;428.6227911;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230939;09;2023;7538843;1;1;1;70;;2;182.56283535;68;;1;1;4;1;;;48;1160000;1;3;4;7;1;7;2;2;;2;;5419;5419;49;4923;
20230939;09;2023;7538843;1;2;1;70;;2;182.56283535;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230939;09;2023;7538844;1;1;1;70;;2;586.86630888;68;1;;;;;;;;;1;24;0;7;1;5;2;2;;2;;.;5245;47;4731;
20230939;09;2023;7538845;1;1;1;70;;2;221.94641554;68;1;;;;;;;;;1;240;0;5;1;10;2;3;;2;;.;3117;06;0610;
20230939;09;2023;7538845;1;2;1;70;;2;221.94641554;68;1;;;;;;;;;1;48;0;3;1;10;2;2;;2;;.;9112;06;0610;
20230939;09;2023;7538846;1;2;1;70;;2;411.55069147;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230939;09;2023;7538846;1;3;1;70;;2;411.55069147;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230939;09;2023;7538846;1;4;1;70;;2;411.55069147;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230939;09;2023;7538847;1;1;1;70;;2;176.71225522;68;1;;;;;;;;;1;36;0;8;1;6;2;2;;2;;.;5414;80;8010;
20230939;09;2023;7538848;1;2;1;70;;2;416.77920387;68;;1;1;4;1;;;48;1450000;1;2;0;8;1;10;2;2;;2;;4110;3112;71;7112;
20230939;09;2023;7538849;1;2;1;70;;2;220.30549073;68;1;;;;;;;;;1;1;2;8;4;1;2;2;;2;;.;9111;81;8121;
20230939;09;2023;7538849;1;3;1;70;;2;220.30549073;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230939;09;2023;7538850;1;2;1;70;;2;440.78985518;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
